foodatlas_id	chebi	cdno
e10614	['main group molecular entity', 'polyatomic entity']	['others']
e10615	['main group molecular entity', 'polyatomic entity', 'mancude ring']	['others']
e10616	['main group molecular entity', 'polyatomic entity']	['mineral (including derivatives)']
e10617	['main group molecular entity', 'polyatomic entity']	['others']
e10618	['main group molecular entity', 'polyatomic entity']	['others']
e10619	['main group molecular entity', 'polyatomic entity']	['others']
e10620	['main group molecular entity', 'polyatomic entity']	['others']
e10621	['main group molecular entity', 'polyatomic entity']	['others']
e10622	['main group molecular entity']	['others']
e10623	['main group molecular entity', 'polyatomic entity']	['others']
e10624	['main group molecular entity']	['others']
e10625	['main group molecular entity', 'polyatomic entity']	['others']
e10626	['main group molecular entity', 'polyatomic entity']	['others']
e10627	[]	['others']
e10628	['main group molecular entity', 'polyatomic entity']	['others']
e10629	['main group molecular entity', 'polyatomic entity']	['others']
e10630	['main group molecular entity', 'polyatomic entity']	['others']
e10631	['main group molecular entity', 'polyatomic entity']	['others']
e10632	['main group molecular entity', 'polyatomic entity']	['others']
e10633	['main group molecular entity', 'polyatomic entity']	['others']
e10634	['main group molecular entity', 'polyatomic entity']	['others']
e10635	['main group molecular entity', 'polyatomic entity']	['others']
e10636	['main group molecular entity', 'polyatomic entity']	['others']
e10637	['main group molecular entity', 'polyatomic entity']	['others']
e10638	['main group molecular entity']	['others']
e10639	['main group molecular entity', 'polyatomic entity']	['others']
e10640	['main group molecular entity', 'polyatomic entity']	['others']
e10641	['main group molecular entity', 'polyatomic entity']	['others']
e10642	['main group molecular entity']	['others']
e10643	['main group molecular entity', 'polyatomic entity']	['others']
e10644	['main group molecular entity']	['others']
e10645	['main group molecular entity', 'polyatomic entity']	['others']
e10646	['main group molecular entity', 'polyatomic entity']	['others']
e10647	['main group molecular entity', 'polyatomic entity']	['others']
e10648	['main group molecular entity', 'polyatomic entity']	['others']
e10649	['main group molecular entity', 'polyatomic entity']	['others']
e10650	['main group molecular entity', 'polyatomic entity']	['others']
e10651	['main group molecular entity', 'polyatomic entity']	['others']
e10652	['main group molecular entity', 'polyatomic entity']	['others']
e10653	['main group molecular entity']	['others']
e10654	['main group molecular entity', 'polyatomic entity']	['others']
e10655	['main group molecular entity', 'polyatomic entity']	['others']
e10656	['main group molecular entity', 'polyatomic entity']	['others']
e10657	['main group molecular entity', 'polyatomic entity']	['others']
e10658	['main group molecular entity', 'polyatomic entity']	['others']
e10659	['main group molecular entity', 'polyatomic entity']	['others']
e10660	['main group molecular entity', 'polyatomic entity']	['others']
e10661	['main group molecular entity', 'polyatomic entity']	['others']
e10662	['main group molecular entity', 'polyatomic entity']	['others']
e10663	['main group molecular entity', 'polyatomic entity']	['others']
e10664	['main group molecular entity', 'polyatomic entity']	['others']
e10665	['main group molecular entity', 'polyatomic entity']	['others']
e10666	['main group molecular entity', 'polyatomic entity']	['others']
e10667	['main group molecular entity', 'polyatomic entity']	['others']
e10668	['main group molecular entity']	['others']
e10669	['main group molecular entity']	['others']
e10670	['main group molecular entity', 'polyatomic entity']	['others']
e10671	['main group molecular entity', 'polyatomic entity']	['others']
e10672	['main group molecular entity', 'polyatomic entity']	['others']
e10673	['main group molecular entity', 'polyatomic entity']	['others']
e10674	['main group molecular entity', 'polyatomic entity']	['others']
e10675	['main group molecular entity', 'polyatomic entity']	['others']
e10676	['main group molecular entity', 'polyatomic entity']	['others']
e10677	['main group molecular entity', 'polyatomic entity']	['others']
