foodatlas_id	head_id	relationship_id	tail_id	source
co410	e60101	r2	e13369	chebi
co411	e13721	r2	e11639	chebi
co412	e63326	r2	e13721	chebi
co413	e63326	r2	e11690	chebi
co414	e61491	r2	e12106	chebi
co415	e60339	r2	e12106	chebi
co416	e60943	r2	e13721	chebi
co417	e60943	r2	e12951	chebi
co418	e64329	r2	e11639	chebi
co419	e61173	r2	e64329	chebi
co420	e61173	r2	e13598	chebi
co421	e12636	r2	e11639	chebi
co422	e13598	r2	e12636	chebi
co423	e11519	r2	e11639	chebi
co424	e11690	r2	e11519	chebi
co425	e13496	r2	e11519	chebi
co426	e12951	r2	e11519	chebi
co427	e13369	r2	e11639	chebi
co428	e13081	r2	e13448	chebi
co429	e64292	r2	e13081	chebi
co430	e61073	r2	e11417	chebi
co431	e62046	r2	e11417	chebi
co432	e11621	r2	e13725	chebi
co433	e12867	r2	e11621	chebi
co434	e63140	r2	e12867	chebi
co435	e62184	r2	e12867	chebi
co436	e62163	r2	e12867	chebi
co437	e11612	r2	e11621	chebi
co438	e62670	r2	e11612	chebi
co439	e13378	r2	e11612	chebi
co440	e13376	r2	e13378	chebi
co441	e62542	r2	e13376	chebi
co442	e13377	r2	e13378	chebi
co443	e60290	r2	e13378	chebi
co444	e60114	r2	e60290	chebi
co445	e13627	r2	e11621	chebi
co446	e63188	r2	e60442	chebi
co447	e12908	r2	e13448	chebi
co448	e11421	r2	e12908	chebi
co449	e63243	r2	e11421	chebi
co450	e13618	r2	e12908	chebi
co451	e64219	r2	e13448	chebi
co452	e13424	r2	e12314	chebi
co453	e61940	r2	e13424	chebi
co454	e13333	r2	e12314	chebi
co455	e64516	r2	e13333	chebi
co456	e61965	r2	e64516	chebi
co457	e61965	r2	e60573	chebi
co458	e11826	r2	e12314	chebi
co459	e12655	r2	e11826	chebi
co460	e61723	r2	e12655	chebi
co461	e62117	r2	e61723	chebi
co462	e11789	r2	e11826	chebi
co463	e60360	r2	e11789	chebi
co464	e60478	r2	e60360	chebi
co465	e12300	r2	e12314	chebi
co466	e64328	r2	e12300	chebi
co467	e62161	r2	e60573	chebi
co468	e13864	r2	e12314	chebi
co469	e60333	r2	e13864	chebi
co470	e62430	r2	e12314	chebi
co471	e60573	r2	e62430	chebi
co472	e60840	r2	e13818	chebi
co473	e61902	r2	e13818	chebi
co474	e11827	r2	e11418	chebi
co475	e60918	r2	e11827	chebi
co476	e13821	r2	e11418	chebi
co477	e64523	r2	e62079	chebi
co478	e62877	r2	e13821	chebi
co479	e61054	r2	e13609	chebi
co480	e62088	r2	e60732	chebi
co481	e12914	r2	e62424	chebi
co482	e63696	r2	e12914	chebi
co483	e61759	r2	e63696	chebi
co484	e63512	r2	e12914	chebi
co485	e13033	r2	e62424	chebi
co486	e11788	r2	e13033	chebi
co487	e61853	r2	e11788	chebi
co488	e61178	r2	e13033	chebi
co489	e61819	r2	e61178	chebi
co490	e60650	r2	e64285	chebi
co491	e61962	r2	e64285	chebi
co492	e60056	r2	e64285	chebi
co493	e13745	r2	e13915	chebi
co494	e64339	r2	e13745	chebi
co495	e63151	r2	e64339	chebi
co496	e60132	r2	e64339	chebi
co497	e13687	r2	e13915	chebi
co498	e62365	r2	e13687	chebi
co499	e13651	r2	e62365	chebi
co500	e63399	r2	e13651	chebi
co501	e13652	r2	e62365	chebi
co502	e60405	r2	e13652	chebi
co503	e13654	r2	e62365	chebi
co504	e63567	r2	e13654	chebi
co505	e11357	r2	e13687	chebi
co506	e60888	r2	e13500	chebi
co507	e13295	r2	e13500	chebi
co508	e63848	r2	e13295	chebi
co509	e63049	r2	e13295	chebi
co510	e13499	r2	e13500	chebi
co511	e64514	r2	e13500	chebi
co512	e61459	r2	e64514	chebi
co513	e61712	r2	e64514	chebi
co514	e13223	r2	e13824	chebi
co515	e63418	r2	e13223	chebi
co516	e13222	r2	e13223	chebi
co517	e60578	r2	e13222	chebi
co518	e60798	r2	e13222	chebi
co519	e11439	r2	e13915	chebi
co520	e13771	r2	e11439	chebi
co521	e60548	r2	e64340	chebi
co522	e11985	r2	e11439	chebi
co523	e11986	r2	e13915	chebi
co524	e60214	r2	e11986	chebi
co525	e64519	r2	e11986	chebi
co526	e60519	r2	e11610	chebi
co527	e61208	r2	e13700	chebi
co528	e61115	r2	e61208	chebi
co529	e61935	r2	e61208	chebi
co530	e60126	r2	e59687	chebi
co531	e12712	r2	e13700	chebi
co532	e64494	r2	e12712	chebi
co533	e61225	r2	e12712	chebi
co534	e60279	r2	e13700	chebi
co535	e62578	r2	e11456	chebi
co536	e12123	r2	e13448	chebi
co537	e12122	r2	e12123	chebi
co538	e60136	r2	e12122	chebi
co539	e61398	r2	e12122	chebi
co540	e60134	r2	e12122	chebi
co541	e11942	r2	e12123	chebi
co542	e60233	r2	e11942	chebi
co543	e62227	r2	e11494	chebi
co544	e13263	r2	e11453	chebi
co545	e13036	r2	e13263	chebi
co546	e13196	r2	e13353	chebi
co547	e62228	r2	e13196	chebi
co548	e11491	r2	e13684	chebi
co549	e11553	r2	e11346	chebi
co550	e12588	r2	e11553	chebi
co551	e11409	r2	e11346	chebi
co552	e60310	r2	e12021	chebi
co553	e63608	r2	e13607	chebi
co554	e64958	r2	e13607	chebi
co555	e64947	r2	e13607	chebi
co556	e64236	r2	e64233	chebi
co557	e64235	r2	e64236	chebi
co558	e64244	r2	e64236	chebi
co559	e63007	r2	e64244	chebi
co560	e61136	r2	e63007	chebi
co561	e61136	r2	e60909	chebi
co562	e61395	r2	e63007	chebi
co563	e61395	r2	e60041	chebi
co564	e62887	r2	e64244	chebi
co565	e60544	r2	e62887	chebi
co566	e60544	r2	e60909	chebi
co567	e60993	r2	e62887	chebi
co568	e60993	r2	e60041	chebi
co569	e62147	r2	e64244	chebi
co570	e63347	r2	e62147	chebi
co571	e63347	r2	e60909	chebi
co572	e61905	r2	e62147	chebi
co573	e61905	r2	e60041	chebi
co574	e61460	r2	e10506	chebi
