name	foodatlas_id
citron melon food product	['e869']
mushroom food product	['e870']
dandelion food product	['e871']
white vegetable (whole or pieces)	['e872']
elderberry food product	['e873']
elk food product	['e874']
endive	['e875']
mullet fish food product	['e876']
rockfish food product	['e877']
flounder food product	['e878']
frog food product	['e879']
limpet food product	['e880']
needlefish food product	['e881']
donkey food product	['e882']
nutsedge food product	['e883']
zucchini food product	['e884']
zebra food product	['e885']
multi-component honey product	['e886']
obsolete: apple (raw)	['e887']
black currant food product	['e888']
red currant food product	['e889']
lime fruit food product	['e890']
hen egg (fried)	['e891']
lobster meat (shell off)	['e892']
lobster tail (shell on)	['e893']
lobster (whole)	['e894']
lobster (whole or pieces)	['e895']
fruit (fresh)	['e896']
apple	['e897']
sheep milk (raw)	['e898']
apple pie	['e899']
pie	['e900']
game animal food product	['e901']
cherry (whole or pieces)	['e902']
orange (whole or pieces)	['e903']
apple (peeled, blanched)	['e904']
fruit (sliced)	['e905']
apple (sliced)	['e906']
harissa chili paste	['e907']
peach (whole or pieces)	['e908']
apricot (whole or pieces)	['e909']
jujube fruit (raw)	['e910']
pear (whole or pieces)	['e911']
fowl food product	['e912']
carrot root (whole or pieces)	['e913']
neet fish food product	['e914']
sarsaparilla food product	['e915']
sassafras food product	['e916']
narangilla food product	['e917']
kiwifruit food product	['e918']
licorice plant food product	['e919']
persimmon food product	['e920']
chard food product	['e921']
safflower plant food product	['e922']
spice rub	['e923']
ham food product	['e924']
cocoa flavanol	['e925']
tualag honey	['e926']
smetana	['e927']
bosc pear (raw)	['e928']
blueberry juice	['e929']
blue corn mush (dish)	['e930']
blue corn meal	['e931']
carrot cake	['e932']
gravlax	['e933']
piece(s) of chicken meat (deboned, cooked)	['e934']
o's cereal	['e935']
shish kebab	['e936']
masa	['e937']
potato waffle	['e938']
potato wedges	['e939']
añejo cheese	['e940']
quesa chihuahua	['e941']
cotija cheese	['e942']
oaxaca cheese	['e943']
serrano ham	['e944']
iberian ham	['e945']
shell bean	['e946']
triticale food product	['e947']
triticale flour	['e948']
tzimbalo melon pear	['e949']
wagyu steak	['e950']
black pudding	['e951']
wonton (filled)	['e952']
red delicious apple	['e953']
blini	['e954']
chipotle	['e955']
elderflower	['e956']
frog leg	['e957']
grape seed	['e958']
hibiscus tea (dry)	['e959']
pork loin	['e960']
squash flower	['e961']
arborio rice	['e962']
bean sprout	['e963']
wine by region	['e964']
white grape (raw)	['e965']
kava food product	['e966']
chardonnay wine	['e967']
cabernet sauvignon wine	['e968']
chenin blanc wine	['e969']
malbec wine	['e970']
merlot wine	['e971']
pinot blanc wine	['e972']
pinot gris wine	['e973']
pinot noir wine	['e974']
pinotage wine	['e975']
reserve wine	['e976']
riesling wine	['e977']
sangiovese wine	['e978']
sauvignon blanc wine	['e979']
semillon wine	['e980']
glera wine	['e981']
prosecco wine	['e982']
syrah wine	['e983']
tempranillo wine	['e984']
zinfandel wine	['e985']
frappato wine	['e986']
gamay noir wine	['e987']
gewürztraminer wine	['e988']
carignane wine	['e989']
grenache wine	['e990']
barbera wine	['e991']
zakynthos wine	['e992']
bordeaux wine	['e993']
food (milled)	['e994']
pig food product	['e995']
pork food product	['e995']
almond bark	['e996']
allspice	['e997']
alligator meat	['e998']
anchovy fillet	['e999']
alfalfa sprout	['e1000']
animal meat food product	['e1001']
chicken nugget	['e1002']
chicken wing	['e1003']
buffalo wing (dish)	['e1004']
cod liver food product	['e1005']
crab claw	['e1006']
fish cake	['e1007']
fish fillet	['e1008']
mahi mahi fillet	['e1009']
milk fat	['e1010']
mustard greens	['e1011']
navy bean	['e1012']
spiny lobster	['e1013']
romaine lettuce head	['e1014']
tropical fruit food product	['e1015']
turkey breast	['e1016']
great northern bean (whole pod or pieces)	['e1017']
moth bean food product	['e1018']
canola meal	['e1019']
scallion food product	['e1020']
alpaca meat food product	['e1021']
apple snail	['e1022']
barramundi food product	['e1023']
barramundi fillet	['e1024']
canola plant food product	['e1025']
chamomile food product	['e1026']
chicken breast	['e1027']
cod fillet	['e1028']
beef lung (raw)	['e1029']
cracker	['e1030']
turkey meat (ground or minced)	['e1031']
herring fillet	['e1032']
chicken drumstick	['e1033']
kielbasa	['e1034']
pork sausage	['e1035']
turkey liver	['e1036']
snapper fillet	['e1037']
roast beef	['e1038']
sole fillet	['e1039']
bird's eye chili	['e1040']
meat and bone meal	['e1041']
tuna fillet	['e1042']
hen egg liquid	['e1043']
soft-shell crab	['e1044']
guajillo chili food product	['e1045']
brown bean	['e1046']
cranberry bean (whole pod or pieces)	['e1047']
cranberry bean (dried)	['e1048']
bean (dried)	['e1049']
bean	['e1050']
bean (rehydrated)	['e1051']
adzuki bean (dried)	['e1052']
adzuki bean (raw)	['e1053']
