foodatlas_id	head_id	relationship_id	tail_id	metadata_ids
t432	e5175	r1	e61406	['mc443']
t433	e5175	r1	e13197	['mc444']
t434	e5175	r1	e65101	['mc445']
t435	e5175	r1	e203822	['mc446']
t436	e5175	r1	e203824	['mc447']
t437	e5175	r1	e65064	['mc448']
t438	e5175	r1	e62037	['mc449']
t439	e5175	r1	e61149	['mc450']
t440	e5175	r1	e63177	['mc451']
t441	e5175	r1	e64216	['mc452']
t442	e5175	r1	e61756	['mc453']
t443	e5175	r1	e63804	['mc454']
t444	e5175	r1	e63841	['mc455']
t445	e5175	r1	e203832	['mc456']
t446	e5795	r1	e60839	['mc457']
t447	e5795	r1	e63804	['mc458']
t448	e5795	r1	e61932	['mc459']
t449	e5795	r1	e59722	['mc460']
t450	e5795	r1	e63840	['mc461']
t451	e5795	r1	e203824	['mc462']
t452	e5795	r1	e12707	['mc473', 'mc463']
t453	e5795	r1	e64386	['mc464']
t454	e5795	r1	e60620	['mc465']
t455	e5795	r1	e63842	['mc466']
t456	e5795	r1	e203826	['mc467']
t457	e5795	r1	e63841	['mc468']
t458	e5795	r1	e203831	['mc469']
t459	e5795	r1	e203829	['mc470']
t460	e5795	r1	e36490	['mc471']
t461	e5795	r1	e12449	['mc472']
t462	e5795	r1	e63844	['mc474']
t463	e5795	r1	e63807	['mc475']
t464	e5795	r1	e60390	['mc476']
t465	e5795	r1	e15875	['mc477']
t466	e5795	r1	e62037	['mc478']
t467	e5795	r1	e203832	['mc479']
t468	e5139	r1	e63841	['mc480']
t469	e5139	r1	e63807	['mc481']
t470	e5139	r1	e203829	['mc482']
t471	e5139	r1	e62037	['mc483']
t472	e5139	r1	e12707	['mc484', 'mc495']
t473	e5139	r1	e203831	['mc485']
t474	e5139	r1	e63842	['mc486']
t475	e5139	r1	e61932	['mc487']
t476	e5139	r1	e203826	['mc488']
t477	e5139	r1	e60390	['mc489']
t478	e5139	r1	e63804	['mc490']
t479	e5139	r1	e12449	['mc491']
t480	e5139	r1	e63840	['mc492']
t481	e5139	r1	e59722	['mc493']
t482	e5139	r1	e36490	['mc494']
t483	e5139	r1	e60839	['mc496']
t484	e5139	r1	e15875	['mc497']
t485	e5139	r1	e203824	['mc498']
t486	e5139	r1	e63844	['mc499']
t487	e5139	r1	e64386	['mc500']
t488	e5139	r1	e60620	['mc501']
t489	e5139	r1	e203832	['mc502']
t490	e5493	r1	e63807	['mc503']
t491	e5493	r1	e63842	['mc504']
t492	e5493	r1	e36490	['mc505']
t493	e5493	r1	e60839	['mc506']
t494	e5493	r1	e12449	['mc507']
t495	e5493	r1	e203829	['mc508']
t496	e5493	r1	e63804	['mc509']
t497	e5493	r1	e64386	['mc510']
t498	e5493	r1	e203824	['mc511']
t499	e5493	r1	e62037	['mc512']
t500	e5493	r1	e63840	['mc513']
t501	e5493	r1	e59722	['mc514']
t502	e5493	r1	e61932	['mc515']
t503	e5493	r1	e203831	['mc516']
t504	e5493	r1	e15875	['mc517']
t505	e5493	r1	e203826	['mc518']
t506	e5493	r1	e60390	['mc519']
t507	e5493	r1	e63841	['mc520']
t508	e5493	r1	e12707	['mc523', 'mc521']
t509	e5493	r1	e63844	['mc522']
t510	e5493	r1	e60620	['mc524']
t511	e5493	r1	e203832	['mc525']
t512	e3745	r1	e203944	['mc526']
t513	e3745	r1	e62988	['mc527']
t514	e3745	r1	e204020	['mc528']
